ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s)
6.844223;-6.975616;0.298447;0.5246;-1.2922;-0.0245
6.771195;-6.940292;0.295456;-0.9713;0.8139;0.1591
6.800522;-6.945083;0.236206;1.0124;-0.8646;-0.3602
6.810105;-6.991165;0.311615;0.3104;-0.8034;-0.1469
6.747849;-6.988769;0.305634;-0.2387;0.3252;0.403
6.735276;-7.000152;0.257156;0.1276;0.3252;-0.0551
6.652085;-7.043243;0.331375;1.4705;-1.9942;0.0979
6.728104;-7.015106;0.361893;-1.3682;1.4548;0.1888
6.716126;-7.03247;0.340942;0.1276;-0.2238;0.0367
6.705948;-7.074371;0.305038;0.7991;-3.581;0.2194
6.801712;-6.96962;0.292465;-0.2081;0.5691;-0.0857
6.847809;-7.003738;0.190109;0.0664;0.5691;-0.3602
6.780762;-6.991775;0.275711;-0.8795;1.8814;-0.3602
6.790344;-6.957657;0.25116;-0.2693;0.5394;0.4336
6.84961;-6.933105;0.269119;-0.1469;0.8743;-0.1163
6.881333;-6.936706;0.237396;0.7991;0.0507;0.6164
6.766403;-6.995361;0.285278;0.9818;-0.4371;0.0673
6.781372;-7.001938;0.315216;0.1888;-0.7728;0.1591
6.750244;-6.97142;0.336761;-0.9101;1.5763;-0.3602
6.750244;-7.028274;0.393021;-0.2999;-0.3768;0.1285
6.780762;-6.975006;0.245178;0.8603;-1.1698;-0.0245
6.807709;-6.928329;0.322983;-0.2387;0.5997;-0.1163
6.796936;-6.929519;0.333771;-0.605;0.7527;0.3418
6.757431;-6.954056;0.284088;0.5246;-0.5595;-0.1163
