1014900	5.18029	5.69163	13.047	10.2782	-1.65033	5.46242	34.1971
1014910	5.18029	5.69163	13.047	10.2782	-1.65033	5.46242	34.1971
1014920	5.14576	5.70099	13.026	10.2503	-1.62681	5.46384	34.123
1014930	5.12849	5.86013	13.0785	10.2782	-1.5058	5.40166	34.3454
1014940	5.12849	5.86013	13.0785	10.2782	-1.5058	5.40166	34.3454
1014950	5.18029	5.7946	13.047	10.2317	-1.60643	5.38795	34.2536
1014961	5.18029	5.7946	13.047	10.2317	-1.60643	5.38795	34.2536
1014970	5.07669	5.67291	13.0155	10.1665	-1.65978	5.49593	33.9315
1014983	5.18029	5.73844	13.026	10.1572	-1.69394	5.39461	34.1019
1014993	5.18029	5.73844	13.026	10.1572	-1.69394	5.39461	34.1019
1015000	5.14576	5.7478	12.9944	10.1665	-1.63408	5.40342	34.0545
1015013	5.15439	5.83205	13.0155	10.1944	-1.56698	5.36173	34.1963
1015020	5.15439	5.83205	13.0155	10.1944	-1.56698	5.36173	34.1963
1015030	5.2062	5.78524	13.0365	10.2596	-1.60252	5.38299	34.2875
1015040	5.2062	5.78524	13.0365	10.2596	-1.60252	5.38299	34.2875
1015050	5.2062	5.7478	13.068	10.2223	-1.68209	5.40368	34.2444
1015060	5.18893	5.71971	13.068	10.2317	-1.68496	5.43334	34.2083
1015070	5.18893	5.71971	13.068	10.2317	-1.68496	5.43334	34.2083
1015083	5.15439	5.77588	12.9629	10.213	-1.56011	5.38567	34.1062
1015090	5.16303	5.76652	13.0575	10.2596	-1.60193	5.42574	34.2466
1015101	5.16303	5.76652	13.0575	10.2596	-1.60193	5.42574	34.2466
1015111	5.17166	5.75716	13.0049	10.2689	-1.57192	5.41406	34.2027
1015121	5.17166	5.75716	13.0049	10.2689	-1.57192	5.41406	34.2027
1015131	5.13713	5.72907	13.026	10.213	-1.62805	5.44175	34.1052
1015141	5.11122	5.78524	13.047	10.2317	-1.56644	5.43474	34.1751
1015161	5.12849	5.71035	13.0155	10.3248	-1.5425	5.48642	34.1791
1015171	5.10259	5.75716	13.026	10.2596	-1.5462	5.45865	34.1453
1015191	5.18029	5.71971	13.0155	10.241	-1.63591	5.42639	34.1564
1015211	5.17166	5.66355	13.026	10.213	-1.70294	5.46035	34.0742
1015221	5.12849	5.71971	13.026	10.2875	-1.57138	5.47336	34.1617
1015233	5.12849	5.71971	13.026	10.2875	-1.57138	5.47336	34.1617
1015242	5.17166	5.73844	13.068	10.2317	-1.65859	5.43248	34.2098
1015253	5.14576	5.71971	12.9839	10.241	-1.59063	5.43823	34.0904
1015264	5.14576	5.71971	12.9839	10.241	-1.59063	5.43823	34.0904
1015273	5.16303	5.72907	13.026	10.3061	-1.5733	5.45228	34.2242
1015283	5.16303	5.72907	13.026	10.3061	-1.5733	5.45228	34.2242
1015300	5.12849	5.70099	13.026	10.2503	-1.61498	5.4742	34.1057
1015311	5.11986	5.69163	13.047	10.3341	-1.56552	5.51417	34.1926
1015312	5.11986	5.69163	13.047	10.3341	-1.56552	5.51417	34.1926
1015322	5.13713	5.77588	12.9944	10.2968	-1.50482	5.42838	34.2043
1015336	5.10259	5.71971	12.9734	10.2782	-1.52469	5.47162	34.0739
1015344	5.10259	5.71971	12.9734	10.2782	-1.52469	5.47162	34.0739
1015354	5.13713	5.71971	12.9839	10.2968	-1.5412	5.45905	34.1376
1015364	5.13713	5.71971	13.0785	10.2968	-1.60604	5.48542	34.2322
1015374	5.06805	5.73844	13.0785	10.3061	-1.53697	5.51817	34.1912
1015384	5.11986	5.78524	13.0996	10.3248	-1.53617	5.47018	34.3294
1015396	5.11986	5.78524	13.0996	10.3248	-1.53617	5.47018	34.3294
1015405	5.14576	5.72907	13.0891	10.2503	-1.64805	5.46462	34.2142
1015415	5.13713	5.71971	13.0575	10.3899	-1.51949	5.50541	34.3043
1015435	5.11986	5.73844	13.068	10.362	-1.52199	5.49971	34.2883
1015447	5.11986	5.61674	13.0891	10.3434	-1.64535	5.57339	34.169
1015455	5.11986	5.61674	13.0891	10.3434	-1.64535	5.57339	34.169
1015465	5.07669	5.71035	13.0155	10.3341	-1.49966	5.5201	34.1366
1015475	5.07669	5.71035	13.0155	10.3341	-1.49966	5.5201	34.1366
1015486	5.09396	5.67291	13.0996	10.3713	-1.56941	5.56579	34.2377
