9368126 11.0808 16.5027 25.6624 23.6734 1.11572 4.24189 76.9193
9368139 11.0808 16.4659 25.6723 23.6344 1.08882 4.24704 76.8533
9368146 11.0808 16.4659 25.6723 23.6344 1.08882 4.24704 76.8533
9368156 11.072 16.4659 25.7018 23.7123 1.10601 4.26426 76.952
9368176 11.0016 16.3922 25.6624 23.7123 1.12043 4.29492 76.7685
9368186 10.9839 16.3554 25.7018 23.8097 1.13186 4.32765 76.8508
9368197 10.9839 16.3554 25.7018 23.8097 1.13186 4.32765 76.8508
9368207 11.028 16.3646 25.7018 23.7513 1.10159 4.30614 76.8456
9368218 10.9839 16.3646 25.6723 23.761 1.12963 4.31446 76.7818
9368227 10.9839 16.3646 25.6723 23.761 1.12963 4.31446 76.7818
9368237 10.9839 16.3738 25.623 23.7805 1.1553 4.308 76.7613
9368247 10.9487 16.3001 25.5837 23.7123 1.1366 4.32045 76.5448
9368262 10.9487 16.3001 25.5837 23.7123 1.1366 4.32045 76.5448
9368271 11.0192 16.3185 25.6526 23.6928 1.08877 4.30493 76.6831
9368280 11.0192 16.3185 25.6526 23.6928 1.08877 4.30493 76.6831
9368287 11.0192 16.3646 25.5738 23.6734 1.12387 4.27962 76.6309
9368297 11.1073 16.3922 25.6624 23.6831 1.07542 4.26431 76.845
9368307 11.1073 16.3922 25.6624 23.6831 1.07542 4.26431 76.845
9368319 11.0192 16.4382 25.6132 23.7221 1.14853 4.27343 76.7927
9368328 11.0192 16.4382 25.6526 23.7221 1.13513 4.27892 76.8321
9368338 11.0016 16.3277 25.6526 23.7903 1.12797 4.32062 76.7721
9368348 11.0456 16.4751 25.5935 23.8195 1.18786 4.26842 76.9337
9368358 11.0456 16.4751 25.5935 23.8195 1.18786 4.26842 76.9337
9368368 11.0016 16.4198 25.6624 23.9072 1.18943 4.31509 76.991
9368378 10.9751 16.4106 25.5935 23.9461 1.2311 4.31988 76.9254
9368399 11.0016 16.4198 25.5837 23.9266 1.22227 4.30686 76.9317
9368408 10.9399 16.3738 25.5246 23.9754 1.2643 4.33249 76.8136
9368428 10.9399 16.429 25.4655 24.0143 1.31359 4.3158 76.8488
9368449 10.9839 16.4567 25.4065 23.9656 1.31223 4.28279 76.8127
9368459 10.9751 16.4382 25.3376 24.0241 1.35122 4.28817 76.775
9368469 10.9751 16.4382 25.3376 24.0241 1.35122 4.28817 76.775
9368479 10.9487 16.4567 25.3966 23.9851 1.33369 4.29298 76.7871
9368489 10.9487 16.4567 25.3966 23.9851 1.33369 4.29298 76.7871
9368499 11.0016 16.4567 25.3573 23.9364 1.31405 4.26741 76.7519
9368509 11.0368 16.5027 25.2687 23.9461 1.34956 4.23598 76.7543
9368519 11.0368 16.5027 25.2687 23.9461 1.34956 4.23598 76.7543
9368531 11.0104 16.5488 25.2884 23.9072 1.35405 4.22836 76.7546
9368539 11.1425 16.5303 25.2588 23.9656 1.3312 4.20398 76.8973
9368549 11.1425 16.5303 25.2588 23.9656 1.3312 4.20398 76.8973
9368559 11.1865 16.6501 25.2687 23.8877 1.32562 4.15358 76.9929
9368569 11.1865 16.6501 25.2687 23.8877 1.32562 4.15358 76.9929
9368579 11.1777 16.6869 25.1506 23.8974 1.3834 4.13132 76.9126
9368589 11.1953 16.6685 25.1506 23.8487 1.35673 4.12463 76.8631
9368599 11.1953 16.6685 25.1506 23.8487 1.35673 4.12463 76.8631
9368610 11.1249 16.7145 25.0423 23.7805 1.41135 4.10569 76.6622
9368619 11.1953 16.6593 25.0127 23.7513 1.37123 4.09354 76.6186
9368631 11.1953 16.6593 25.0127 23.7513 1.37123 4.09354 76.6186
9368640 11.1953 16.7974 24.8848 23.7026 1.44289 4.03394 76.5801
9368650 11.1953 16.7974 24.8848 23.7026 1.44289 4.03394 76.5801
9368659 11.2482 16.8158 24.7962 23.6928 1.45791 4.00213 76.553
9368670 11.2922 16.8527 24.7765 23.6344 1.44284 3.97083 76.5558
9368691 11.3187 16.9447 24.7076 23.6441 1.48882 3.93297 76.6151
9368702 11.4155 16.954 24.7076 23.6246 1.45221 3.90397 76.7017
9368711 11.4155 16.954 24.7076 23.6246 1.45221 3.90397 76.7017
9368721 11.3539 16.9816 24.7666 23.6636 1.47353 3.92652 76.7657
9368741 11.4155 16.9263 24.6781 23.6636 1.46587 3.91214 76.6835
9368751 11.442 17.0097 24.7568 23.6636 1.4552 3.89648 76.8721
9368761 11.442 17.0097 24.7568 23.6636 1.4552 3.89648 76.8721
9368775 11.4244 17.0097 24.7273 23.6246 1.45949 3.89091 76.786
9368781 11.4508 16.9908 24.6682 23.6441 1.47091 3.88334 76.7539
9368802 11.4244 17 24.6682 23.5857 1.46492 3.87911 76.6782
